PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date
28110779,Transmissible gastroenteritis virus does not suppress IFN-β induction but is sensitive to IFN in IPEC-J2 cells,"Zhu L, Yang X, Mou C, Yang Q.",Vet Microbiol. 2017 Feb;199:128-134. doi: 10.1016/j.vetmic.2016.12.031. Epub 2016 Dec 21.,Zhu L,Vet Microbiol,2017,2017/01/24
28009529,High Prevalence of Middle East Respiratory Coronavirus in Young Dromedary Camels in Jordan,"van Doremalen N, Hijazeen ZS, Holloway P, Al Omari B, McDowell C, Adney D, Talafha HA, Guitian J, Steel J, Amarin N, Tibbo M, Abu-Basha E, Al-Majali AM, Munster VJ, Richt JA.",Vector Borne Zoonotic Dis. 2017 Feb;17(2):155-159. doi: 10.1089/vbz.2016.2062. Epub 2016 Dec 23.,van Doremalen N,Vector Borne Zoonotic Dis,2017,2016/12/24
27984784,Porcine deltacoronavirus nsp5 inhibits interferon-β production through the cleavage of NEMO,"Zhu X, Fang L, Wang D, Yang Y, Chen J, Ye X, Foda MF, Xiao S.",Virology. 2017 Feb;502:33-38. doi: 10.1016/j.virol.2016.12.005. Epub 2016 Dec 13.,Zhu X,Virology,2017,2016/12/17
27936982,MERS-CoV spike protein: a key target for antivirals,"Du L, Yang Y, Zhou Y, Lu L, Li F, Jiang S.",Expert Opin Ther Targets. 2017 Feb;21(2):131-143. doi: 10.1080/14728222.2017.1271415. Epub 2016 Dec 21.,Du L,Expert Opin Ther Targets,2017,2016/12/13
27924415,"Detection of infectious bronchitis virus 793B, avian metapneumovirus, Mycoplasma gallisepticum and Mycoplasma synoviae in poultry in Ethiopia","Hutton S, Bettridge J, Christley R, Habte T, Ganapathy K.",Trop Anim Health Prod. 2017 Feb;49(2):317-322. doi: 10.1007/s11250-016-1195-2. Epub 2016 Dec 6.,Hutton S,Trop Anim Health Prod,2017,2016/12/08
27918958,Drivers of airborne human-to-human pathogen transmission,"Herfst S, Böhringer M, Karo B, Lawrence P, Lewis NS, Mina MJ, Russell CJ, Steel J, de Swart RL, Menge C.",Curr Opin Virol. 2017 Feb;22:22-29. doi: 10.1016/j.coviro.2016.11.006. Epub 2016 Dec 2.,Herfst S,Curr Opin Virol,2017,2016/12/06
27905101,A review on antiviral activity of the Himalayan medicinal plants traditionally used to treat bronchitis and related symptoms,"Amber R, Adnan M, Tariq A, Mussarat S.",J Pharm Pharmacol. 2017 Feb;69(2):109-122. doi: 10.1111/jphp.12669. Epub 2016 Dec 1.,Amber R,J Pharm Pharmacol,2017,2016/12/02
27872356,Middle East Respiratory Syndrome Coronavirus and Children,"Bartenfeld M, Griese S, Uyeki T, Gerber SI, Peacock G.",Clin Pediatr (Phila). 2017 Feb;56(2):187-189. doi: 10.1177/0009922816678820. Epub 2016 Nov 23.,Bartenfeld M,Clin Pediatr (Phila),2017,2016/11/23
27841103,Serologic Evaluation of MERS Screening Strategy for Healthcare Personnel During a Hospital-Associated Outbreak,"Ko JH, Lee JY, Baek JY, Seok H, Park GE, Lee JY, Cho SY, Ha YE, Kang CI, Kang JM, Kim YJ, Kang ES, Kim SH, Jo IJ, Chung CR, Hahn MJ, Müller MA, Drosten C, Chung DR, Song JH, Peck KR.",Infect Control Hosp Epidemiol. 2017 Feb;38(2):234-238. doi: 10.1017/ice.2016.251. Epub 2016 Nov 14.,Ko JH,Infect Control Hosp Epidemiol,2017,2016/11/15
27815750,A sensitive duplex nanoparticle-assisted PCR assay for identifying porcine epidemic diarrhea virus and porcine transmissible gastroenteritis virus from clinical specimens,"Zhu Y, Liang L, Luo Y, Wang G, Wang C, Cui Y, Ai X, Cui S.",Virus Genes. 2017 Feb;53(1):71-76. doi: 10.1007/s11262-016-1405-z. Epub 2016 Nov 4.,Zhu Y,Virus Genes,2017,2016/11/06
27746172,Macrophages from disease resistant B2 haplotype chickens activate T lymphocytes more effectively than macrophages from disease susceptible B19 birds,"Collisson E, Griggs L, Drechsler Y.",Dev Comp Immunol. 2017 Feb;67:249-256. doi: 10.1016/j.dci.2016.09.013. Epub 2016 Oct 14.,Collisson E,Dev Comp Immunol,2017,2016/10/18
27658544,Activated GL7(+) B cells are maintained within the inflamed CNS in the absence of follicle formation during viral encephalomyelitis,"DiSano KD, Stohlman SA, Bergmann CC.",Brain Behav Immun. 2017 Feb;60:71-83. doi: 10.1016/j.bbi.2016.09.022. Epub 2016 Sep 19.,DiSano KD,Brain Behav Immun,2017,2016/09/24
27430485,"Acute viral respiratory infections among children in MERS-endemic Riyadh, Saudi Arabia, 2012-2013","Fagbo SF, Garbati MA, Hasan R, AlShahrani D, Al-Shehri M, AlFawaz T, Hakawi A, Wani TA, Skakni L.",J Med Virol. 2017 Feb;89(2):195-201. doi: 10.1002/jmv.24632. Epub 2016 Jul 29.,Fagbo SF,J Med Virol,2017,2016/07/20
27400065,"Protection of chickens vaccinated with combinations of commercial live infectious bronchitis vaccines containing Massachusetts, Dutch and QX-like serotypes against challenge with virulent infectious bronchitis viruses 793B and IS/1494/06 Israel variant 2","Bru T, Vila R, Cabana M, Geerligs HJ.",Avian Pathol. 2017 Feb;46(1):52-58. doi: 10.1080/03079457.2016.1203393. Epub 2016 Oct 17.,Bru T,Avian Pathol,2017,2016/07/12
27329854,A novel variant of the infectious bronchitis virus resulting from recombination events in Italy and Spain,"Moreno A, Franzo G, Massi P, Tosi G, Blanco A, Antilles N, Biarnes M, Majó N, Nofrarías M, Dolz R, Lelli D, Sozzi E, Lavazza A, Cecchinato M.",Avian Pathol. 2017 Feb;46(1):28-35. doi: 10.1080/03079457.2016.1200011. Epub 2016 Oct 24.,Moreno A,Avian Pathol,2017,2016/06/23
26474594,Feline coronavirus quantitative reverse transcriptase polymerase chain reaction on effusion samples in cats with and without feline infectious peritonitis,"Longstaff L, Porter E, Crossley VJ, Hayhow SE, Helps CR, Tasker S.",J Feline Med Surg. 2017 Feb;19(2):240-245. doi: 10.1177/1098612X15606957. Epub 2016 Jul 10.,Longstaff L,J Feline Med Surg,2017,2015/10/18
27169943,Epidemiological and Clinical Characteristics of Patients with Middle East Respiratory Syndrome Coronavirus in Iran in 2014,"Yousefi M, Dehesh MM, Farokhnia M.",Jpn J Infect Dis. 2017 Jan 24;70(1):115-118. doi: 10.7883/yoken.JJID.2015.536. Epub 2016 May 9.,Yousefi M,Jpn J Infect Dis,2017,2016/05/13
27903740,Protective T Cell Responses Featured by Concordant Recognition of Middle East Respiratory Syndrome Coronavirus-Derived CD8+ T Cell Epitopes and Host MHC,"Liu WJ, Lan J, Liu K, Deng Y, Yao Y, Wu S, Chen H, Bao L, Zhang H, Zhao M, Wang Q, Han L, Chai Y, Qi J, Zhao J, Meng S, Qin C, Gao GF, Tan W.",J Immunol. 2017 Jan 15;198(2):873-882. doi: 10.4049/jimmunol.1601542. Epub 2016 Nov 30.,Liu WJ,J Immunol,2017,2016/12/02
27840112,"Alisporivir inhibits MERS- and SARS-coronavirus replication in cell culture, but not SARS-coronavirus infection in a mouse model","de Wilde AH, Falzarano D, Zevenhoven-Dobbe JC, Beugeling C, Fett C, Martellaro C, Posthuma CC, Feldmann H, Perlman S, Snijder EJ.",Virus Res. 2017 Jan 15;228:7-13. doi: 10.1016/j.virusres.2016.11.011. Epub 2016 Nov 10.,de Wilde AH,Virus Res,2017,2016/11/15
27576010,Middle East Respiratory Syndrome: Emergence of a Pathogenic Human Coronavirus,"Fehr AR, Channappanavar R, Perlman S.",Annu Rev Med. 2017 Jan 14;68:387-399. doi: 10.1146/annurev-med-051215-031152. Epub 2016 Aug 26.,Fehr AR,Annu Rev Med,2017,2016/08/31
27799635,Isolation of Coronavirus NL63 from Blood from Children in Rural Haiti: Phylogenetic Similarities with Recent Isolates from Malaysia,"Beau De Rochars VM, Lednicky J, White S, Loeb J, Elbadry MA, Telisma T, Chavannes S, Anilis MG, Cella E, Ciccozzi M, Okech BA, Salemi M, Morris JG Jr.",Am J Trop Med Hyg. 2017 Jan 11;96(1):144-147. doi: 10.4269/ajtmh.16-0585. Epub 2016 Oct 31.,Beau De Rochars VM,Am J Trop Med Hyg,2017,2016/11/02
27628592,Development and application of multiplex PCR assays for detection of virus-induced respiratory disease complex in dogs,"Piewbang C, Rungsipipat A, Poovorawan Y, Techangamsuwan S.",J Vet Med Sci. 2017 Jan 10;78(12):1847-1854. doi: 10.1292/jvms.16-0342. Epub 2016 Sep 15.,Piewbang C,J Vet Med Sci,2017,2016/09/16
28119682,One-Pot Reverse Transcriptional Loop-Mediated Isothermal Amplification (RT-LAMP) for Detecting MERS-CoV,"Lee SH, Baek YH, Kim YH, Choi YK, Song MS, Ahn JY.",Front Microbiol. 2017 Jan 9;7:2166. doi: 10.3389/fmicb.2016.02166. eCollection 2016.,Lee SH,Front Microbiol,2017,2017/01/26
27899678,Virus Variation Resource - improved response to emergent viral outbreaks,"Hatcher EL, Zhdanov SA, Bao Y, Blinkova O, Nawrocki EP, Ostapchuck Y, Schäffer AA, Brister JR.",Nucleic Acids Res. 2017 Jan 4;45(D1):D482-D490. doi: 10.1093/nar/gkw1065. Epub 2016 Nov 28.,Hatcher EL,Nucleic Acids Res,2017,2016/12/01
27899228,The recombinant N-terminal domain of spike proteins is a potential vaccine against Middle East respiratory syndrome coronavirus (MERS-CoV) infection,"Jiaming L, Yanfeng Y, Yao D, Yawei H, Linlin B, Baoying H, Jinghua Y, Gao GF, Chuan Q, Wenjie T.",Vaccine. 2017 Jan 3;35(1):10-18. doi: 10.1016/j.vaccine.2016.11.064. Epub 2016 Nov 26.,Jiaming L,Vaccine,2017,2016/12/01
27784629,Efficient priming of CD4 T cells by Langerin-expressing dendritic cells targeted with porcine epidemic diarrhea virus spike protein domains in pigs,"Subramaniam S, Cao D, Tian D, Cao QM, Overend C, Yugo DM, Matzinger SR, Rogers AJ, Heffron CL, Catanzaro N, Kenney SP, Opriessnig T, Huang YW, Labarque G, Wu SQ, Meng XJ.",Virus Res. 2017 Jan 2;227:212-219. doi: 10.1016/j.virusres.2016.10.007. Epub 2016 Oct 23.,Subramaniam S,Virus Res,2017,2016/11/07
27732876,Porcine amino peptidase N domain VII has critical role in binding and entry of porcine epidemic diarrhea virus,"Kamau AN, Park JE, Park ES, Yu JE, Rho J, Shin HJ.",Virus Res. 2017 Jan 2;227:150-157. doi: 10.1016/j.virusres.2016.10.004. Epub 2016 Oct 11.,Kamau AN,Virus Res,2017,2016/11/07
27644155,Understanding bat SARS-like coronaviruses for the preparation of future coronavirus outbreaks - Implications for coronavirus vaccine development,"Ng OW, Tan YJ.",Hum Vaccin Immunother. 2017 Jan 2;13(1):186-189. doi: 10.1080/21645515.2016.1228500. Epub 2016 Sep 20.,Ng OW,Hum Vaccin Immunother,2017,2016/09/21
32219056,A Novel Antiviral Strategy against MERS-CoV and HCoV-229E Using Binase to Target Viral Genome Replication,"Müller C, Ulyanova V, Ilinskaya O, Pleschka S, Shah Mahmud R.",Bionanoscience. 2017;7(2):294-299. doi: 10.1007/s12668-016-0341-7. Epub 2016 Oct 20.,Müller C,Bionanoscience,2017,2020/03/29
32214976,Detection of pancoronavirus using PCR in Camelus dromedarius in Iran (first report),"Khalili Bagaloy H, Sakhaee E, Khalili M.",Comp Clin Path. 2017;26(1):193-196. doi: 10.1007/s00580-016-2368-0. Epub 2016 Nov 18.,Khalili Bagaloy H,Comp Clin Path,2017,2020/03/28
